"NQUEST"	"numcompfam"	"NCOMP"	"nord"	"SEX"	"PARENT"	"NASC"	"ANASC"	"CIT"	"ANINGR"	"MOTIV"	"STACIV"	"STUDIO"	"TIPOLAU"	"VOTOEDU"	"SUEDU"	"SELODE"	"ANNOEDU"	"TIPODIP"	"UNIVER"	"PRESNORD"	"NORDP"	"MOTENT"	"ANNOENUS"	"B01"	"APQUAL2"	"ASNONOC2"	"NACE2"	"NESPLAV"	"EXLAV"	"ETALAV"	"DISLAV"	"DISANN1"	"DISANN2"	"CONTRIB"	"ACONTRIB"	"FCONTRIB"	"OCCNOW"	"PROBLAV1"	"CERC2"	"PROBLAV2"	"SALMIN"	"SMARTW"	"SMARTWA"	"SMARTWB"	"ETAPEN"	"COPPU"	"PREVCOM"	"COPPIP"	"B16"	"B17A"	"B17B"	"B18"	"B19A"	"B19B"	"B19C"	"ATTIVP"	"ISCO"	"NACE"	"ETALAV2"	"MISCOVID1"	"MISCOVID2"	"MISCOVIDV1"	"ETA"	"NASCREG"	"NASCAREA"	"IREG"	"PARENTP"	"smartwa1"	"CLETA5"	"QUAL"	"Q"	"SETT"	"CFRED"	"PERC"	"PERL"	"NPERL"	"NPERC"	"AREA3"	"AREA5"	"ACOM4C"	"ACOM5"	"PESOFIT"	"PESOFIT2"	"y.hh"	"y.fam"	"y.nhh"	"GODABIT"	"QUOPRO"	"VALABIT"	"y.rhh"	"NW"	"NE"	"N"	"SO"	"IS"	"S"
945767	2	2	1	2	1	1	1965	1	NA	NA	3	5	NA	39	60	NA	1985	5	2	1	NA	NA	NA	2	12	3	16	1	NA	40	NA	NA	15	1	3	0	2	NA	1	20	12	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	2	1	NA	0	NA	NA	NA	NA	NA	55	1	1	18	NA	NA	4	7	3	5	1	1	0	0	2	3	4	2	4	1.3324687258	5396.208704	6000	13500	7500	2	0	150000	44.4444444444444	FALSE	FALSE	0	TRUE	FALSE	1
945771	2	2	1	1	1	1	1957	1	NA	NA	1	7	7	87	110	0	2001	2	NA	1	NA	NA	NA	1	7	NA	NA	3	3	23	1	5	NA	1	10	0	1	80	2	NA	NA	2	NA	NA	70	30	NA	NA	2	1	2	2	2	2	2	NA	3123	6	30	1	2	3000	63	18	3	18	NA	NA	4	4	2	4	1	1	1	1	1	3	4	2	4	0.1225499261	496.30056249	0	0	0	1	0	350000	NA	FALSE	FALSE	0	TRUE	FALSE	1
945779	7	7	1	1	1	1	1969	1	NA	NA	1	7	6	100	110	0	1996	2	NA	1	NA	NA	NA	1	4	NA	NA	2	3	30	2	NA	NA	1	26	4	1	0	2	NA	NA	1	0	10	67	80	1	100	1	2	1	2	2	2	2	1	1112	15	30	2	2	NA	51	18	3	18	NA	NA	3	3	1	3	1	1	1	1	2	3	4	2	4	0.2589511526	1048.6958803	29500	31700	2200	1	0	300000	93.0599369085173	FALSE	FALSE	0	TRUE	FALSE	1
945781	4	4	1	1	1	1	1965	1	NA	NA	1	5	NA	42	60	NA	1983	3	2	1	NA	NA	NA	1	2	NA	NA	1	NA	23	2	NA	NA	1	34	1	1	100	2	NA	NA	1	0	2	67	80	2	NA	1	2	2	2	2	2	2	NA	3114	15	NA	2	2	NA	55	18	3	18	NA	NA	4	2	1	3	1	1	1	1	1	3	4	2	4	0.0380061117	153.91649093	22750	22750	0	1	0	160000	100	FALSE	FALSE	0	TRUE	FALSE	1
945784	4	4	1	1	1	1	1964	1	NA	NA	1	5	NA	36	60	NA	1983	2	1	1	NA	NA	NA	1	2	NA	NA	1	NA	24	2	NA	NA	1	32	0	1	0	2	NA	NA	2	NA	NA	67	80	1	100	1	2	2	2	2	2	2	NA	2221	17	NA	1	2	3000	56	18	3	18	NA	NA	4	2	1	3	1	1	1	1	2	3	4	2	4	0.1768777545	716.31645813	24500	27300	2800	1	0	180000	89.7435897435898	FALSE	FALSE	0	TRUE	FALSE	1
945791	3	3	1	1	1	1	1956	1	NA	NA	1	5	NA	10	10	NA	1974	3	1	1	NA	NA	NA	1	2	NA	NA	1	NA	34	2	NA	NA	1	31	1	1	100	2	NA	NA	1	10	25	67	75	2	NA	1	2	2	2	2	2	2	NA	4110	15	NA	2	2	NA	64	18	3	18	NA	NA	4	2	1	3	1	1	1	2	2	3	4	2	4	0.299160612	1211.5354508	19650	20250	600	1	0	110000	97.037037037037	FALSE	FALSE	0	TRUE	FALSE	1
945796	4	4	1	1	1	1	1975	1	NA	NA	1	5	NA	46	60	NA	1996	2	2	1	NA	NA	NA	2	12	2	19	1	NA	26	NA	NA	3	1	10	1	2	NA	1	60	12	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	1	1	2	NA	0	NA	NA	NA	NA	NA	45	18	3	18	NA	NA	3	7	3	5	1	1	0	0	1	3	4	2	4	0.3592363473	1454.8291202	9200	9200	0	1	0	180000	100	FALSE	FALSE	0	TRUE	FALSE	1
945797	4	4	1	1	1	1	1974	1	NA	NA	1	8	3	100	110	0	2000	3	NA	1	NA	NA	NA	1	4	NA	NA	1	NA	29	2	NA	NA	1	18	4	1	0	2	NA	NA	2	NA	NA	70	70	1	90	1	2	2	2	2	2	2	NA	2212	17	NA	1	2	6000	46	18	3	18	NA	NA	3	3	1	3	1	1	1	2	2	3	4	2	4	0.397559055	1610.0277563	86000	111500	25500	1	0	400000	77.1300448430493	FALSE	FALSE	0	TRUE	FALSE	1
945812	4	4	1	1	1	1	1965	1	NA	NA	1	5	NA	42	60	NA	1984	2	2	1	NA	NA	NA	1	2	NA	NA	3	3	20	1	2	NA	1	25	1	1	80	2	NA	NA	1	0	0	68	60	2	NA	1	2	1	1	2	2	2	1	4222	19	26	2	2	NA	55	18	3	18	NA	NA	4	2	1	4	1	1	1	2	2	3	4	2	4	0.2988145208	1210.1338567	31350	55550	24200	1	0	300000	56.4356435643564	FALSE	FALSE	0	TRUE	FALSE	1
945871	4	4	1	1	1	1	1974	1	NA	NA	1	3	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	7	NA	NA	1	NA	20	2	NA	NA	1	20	1	1	100	2	NA	NA	2	NA	NA	70	40	NA	NA	2	1	2	2	2	2	2	NA	3123	6	NA	2	2	NA	46	19	3	19	NA	NA	3	4	2	4	1	1	1	1	1	3	5	2	4	0.6105690487	2472.6719291	0	0	0	1	0	120000	NA	FALSE	FALSE	0	FALSE	TRUE	1
